year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2025,Madrid,R64,L,Arnaldi,28.3,35.8,48.6,50.0,33.4,45.5,54.5,48.6,50.0,53.6,38.5,45.0,50.0,0.0,5.9,47.1,-118,clay
2025,Monte Carlo,R32,L,Tabilo,14.3,23.2,50.0,56.5,19.8,23.3,40.0,50.0,56.5,33.7,56.3,42.9,25.0,4.2,4.2,43.5,-76,clay
2025,Miami,F,L,Mensik,28.4,41.9,59.6,64.9,35.9,33.9,51.8,59.6,64.9,43.9,57.7,66.7,0.0,11.8,11.8,46.7,4,hard
2025,Miami,SF,W,Dimitrov,33.3,44.4,62.1,68.0,38.9,35.9,48.7,62.1,68.0,42.3,42.1,45.0,0.0,20.0,20.0,25.0,65,hard
2025,Miami,R64,W,Hijikata,38.8,57.1,75.9,72.7,48.6,43.6,59.0,75.9,72.7,55.9,57.9,45.0,0.0,22.2,55.6,85.7,72,hard
2025,Indian Wells,R64,L,Van,17.8,24.7,43.9,51.4,24.7,24.5,32.7,43.9,51.4,34.7,60.0,29.2,40.0,4.8,9.5,30.0,-72,hard
2025,Doha,R32,L,Berrettini,23.1,40.0,59.2,78.1,34.5,31.9,53.2,59.2,78.1,47.7,50.0,52.0,66.7,0.0,5.9,23.5,-118,hard
2025,Australian Open,SF,L,Zverev,27.8,35.2,53.8,41.2,29.6,45.2,51.6,53.8,41.2,48.4,58.3,63.2,100.0,4.3,13.0,63.6,-79,hard
2025,Australian Open,QF,W,Alcaraz,27.2,38.2,47.9,47.5,34.0,29.1,39.5,47.9,47.5,39.9,53.8,36.2,62.5,25.5,38.3,48.6,12,hard
2025,Australian Open,R16,W,Lehecka,40.2,45.7,59.6,61.5,45.5,51.9,61.1,59.6,61.5,60.9,52.4,51.5,100.0,25.7,25.7,57.7,40,hard
2025,Australian Open,R32,W,Machac,34.2,41.8,60.4,66.7,39.0,41.2,49.0,60.4,66.7,48.6,47.8,64.3,50.0,25.0,33.3,50.0,118,hard
2025,Australian Open,R128,W,Basavareddy,49.1,52.8,50.0,40.7,51.7,62.5,65.3,50.0,40.7,66.4,43.8,50.0,50.0,23.3,30.0,60.9,99,hard
2025,Brisbane,QF,L,Opelka,37.0,43.8,51.1,51.6,40.5,41.5,49.1,51.1,51.6,46.4,42.9,50.0,20.0,26.3,31.6,50.0,-3,hard
2025,Brisbane,R16,W,Monfils,32.7,40.4,61.8,60.0,37.7,41.2,52.9,61.8,60.0,48.8,55.6,68.8,100.0,17.6,17.6,64.3,5,hard
2024,Shanghai,F,L,Sinner,37.9,48.3,52.8,50.0,41.6,52.6,60.5,52.8,50.0,58.2,41.2,61.9,100.0,10.0,25.0,55.6,-79,hard
