year,tourney,round,opponent,avg speed,1st: avg,1st: stdev,1st: t avg,1st: wide avg,1st: max,1st: min,2nd: avg,2nd: stdev,2nd: t avg,2nd: wide avg,2nd: max,2nd: min,surface_clay,surface_grass,surface_hard,result_W
2024,US Open,R32,Popyrin,108.0,114.9,6.3,117.7,112.9,124.0,94.0,94.8,9.5,104.6,86.0,117.0,77.0,False,False,True,False
2024,US Open,R64,Djere,106.0,117.9,4.9,118.3,116.0,125.0,105.0,93.2,10.0,103.6,97.6,119.0,78.0,False,False,True,True
2024,US Open,R128,Albot,107.5,116.6,6.6,119.9,110.8,126.0,104.0,96.7,11.0,94.8,101.2,117.0,78.0,False,False,True,True
2024,Wimbledon,F,Alcaraz,113.7,118.7,4.4,120.7,117.0,126.0,107.0,100.1,6.9,103.6,101.7,114.0,90.0,False,True,False,False
2024,Wimbledon,SF,Musetti,111.5,118.6,4.9,120.3,115.9,127.0,95.0,95.1,9.0,98.6,100.3,117.0,83.0,False,True,False,True
2024,Wimbledon,R16,Rune,112.5,118.6,5.0,119.7,117.3,125.0,103.0,100.9,7.3,102.3,99.3,114.0,90.0,False,True,False,True
2024,Wimbledon,R32,Popyrin,112.4,117.6,4.5,118.9,116.3,125.0,105.0,99.9,9.0,103.5,95.0,115.0,76.0,False,True,False,True
2024,Wimbledon,R64,Fearnley,111.9,116.3,4.6,118.1,113.4,123.0,106.0,102.3,8.0,108.1,98.3,115.0,88.0,False,True,False,True
2024,Wimbledon,R128,Kopriva,109.8,114.9,4.9,118.3,111.3,123.0,105.0,98.2,8.8,105.5,104.5,112.0,85.0,False,True,False,True
2023,US Open,F,Medvedev,103.7,116.0,8.4,120.4,108.4,126.0,99.0,87.2,5.3,94.3,91.4,107.0,79.0,False,False,True,True
2023,US Open,SF,Shelton,109.5,116.3,8.7,120.1,109.5,125.0,83.0,93.7,6.4,96.1,95.0,111.0,82.0,False,False,True,True
2023,US Open,QF,Fritz,108.2,116.3,8.7,120.2,109.9,126.0,91.0,94.2,10.8,105.3,100.7,117.0,78.0,False,False,True,True
2023,US Open,R16,Gojo,107.6,115.2,8.5,120.2,110.5,126.0,96.0,90.1,9.3,100.8,92.7,105.0,77.0,False,False,True,True
2023,US Open,R32,Djere,106.0,113.2,8.4,117.6,107.6,125.0,92.0,91.0,7.9,98.6,89.7,108.0,80.0,False,False,True,True
2023,US Open,R64,Zapata,105.4,115.2,9.4,120.4,107.4,126.0,89.0,91.6,10.0,102.2,93.3,116.0,79.0,False,False,True,True
2023,US Open,R128,Muller,105.9,114.3,8.9,119.4,111.8,126.0,91.0,93.6,5.5,101.5,97.3,106.0,85.0,False,False,True,True
2023,Wimbledon,F,Alcaraz,111.3,118.2,5.4,119.6,116.0,127.0,106.0,98.5,8.9,99.4,100.4,120.0,83.0,False,True,False,False
2023,Wimbledon,SF,Sinner,108.7,118.4,6.0,121.8,114.2,126.0,104.0,95.3,10.2,101.1,98.7,118.0,78.0,False,True,False,True
2023,Wimbledon,QF,Rublev,108.2,118.6,6.6,121.6,113.7,126.0,97.0,90.6,8.8,91.7,94.8,109.0,78.0,False,True,False,True
2023,Wimbledon,R16,Hurkacz,111.1,117.7,6.0,119.9,113.9,128.0,104.0,93.3,10.2,97.0,99.3,116.0,79.0,False,True,False,True
2023,Wimbledon,R32,Wawrinka,109.0,117.9,6.1,120.5,112.6,125.0,105.0,92.4,8.2,98.1,94.3,107.0,72.0,False,True,False,True
2023,Wimbledon,R64,Thompson,111.7,118.6,6.4,120.4,115.3,128.0,102.0,96.3,11.2,105.4,93.3,114.0,72.0,False,True,False,True
2023,Wimbledon,R128,Cachin,110.1,117.6,5.8,119.3,113.6,126.0,101.0,95.6,9.0,100.3,95.4,114.0,81.0,False,True,False,True
2022,Wimbledon,F,Kyrgios,107.5,114.8,6.0,117.4,110.7,123.0,103.0,92.8,8.6,97.9,94.5,113.0,77.0,False,True,False,True
2022,Wimbledon,SF,Norrie,106.2,114.6,6.0,117.5,109.8,124.0,99.0,90.4,6.1,92.6,88.7,112.0,81.0,False,True,False,True
2022,Wimbledon,QF,Sinner,106.5,114.0,6.8,117.1,110.4,123.0,98.0,89.7,8.3,103.3,94.5,109.0,76.0,False,True,False,True
2022,Wimbledon,R16,Van,106.8,115.1,6.5,118.5,110.5,124.0,97.0,91.9,9.2,94.8,98.3,115.0,80.0,False,True,False,True
2022,Wimbledon,R32,Kecmanovic,106.3,116.2,5.6,117.1,114.7,123.0,103.0,95.1,9.0,105.6,96.3,115.0,82.0,False,True,False,True
2022,Wimbledon,R64,Kokkinakis,106.7,111.8,7.2,115.1,109.4,123.0,94.0,92.1,8.0,99.4,97.0,107.0,80.0,False,True,False,True
2022,Wimbledon,R128,Kwon,107.2,114.0,6.6,117.7,109.8,125.0,99.0,96.3,9.3,102.0,96.5,114.0,83.0,False,True,False,True
2021,US Open,F,Medvedev,103.1,114.4,7.7,118.8,109.5,124.0,99.0,88.6,7.4,100.8,88.7,115.0,68.0,False,False,True,False
2021,US Open,SF,Zverev,106.2,114.9,7.4,118.3,109.8,125.0,99.0,88.8,7.3,96.4,92.5,114.0,78.0,False,False,True,True
2021,US Open,QF,Berrettini,106.8,117.6,6.0,119.9,113.4,127.0,101.0,87.7,5.8,90.9,94.7,108.0,79.0,False,False,True,True
2021,US Open,R16,Brooksby,107.6,117.3,6.9,120.7,113.2,129.0,100.0,90.8,10.2,107.0,94.0,117.0,78.0,False,False,True,True
2021,US Open,R32,Nishikori,110.2,117.2,6.6,120.3,114.2,126.0,101.0,96.8,9.7,103.8,96.2,117.0,84.0,False,False,True,True
2021,US Open,R64,Griekspoor,109.2,116.4,8.7,120.5,110.6,125.0,98.0,93.8,8.5,99.9,99.7,110.0,79.0,False,False,True,True
2021,US Open,R128,Rune,109.8,116.7,6.9,118.7,114.2,126.0,101.0,94.9,8.3,105.0,98.0,110.0,81.0,False,False,True,True
2021,Wimbledon,F,Berrettini,105.4,115.4,7.2,118.8,110.2,124.0,96.0,88.0,10.7,98.7,92.3,113.0,74.0,False,True,False,True
2021,Wimbledon,SF,Shapovalov,107.1,114.8,6.8,117.6,111.2,124.0,99.0,93.6,6.7,94.0,90.1,119.0,85.0,False,True,False,True
2021,Wimbledon,QF,Fucsovics,106.4,113.2,7.4,115.4,109.4,124.0,89.0,91.9,8.3,98.5,90.3,115.0,80.0,False,True,False,True
2021,Wimbledon,R16,Garin,106.6,114.7,6.9,118.1,109.2,124.0,102.0,94.8,9.7,103.5,95.3,113.0,72.0,False,True,False,True
2021,Wimbledon,R32,Kudla,107.0,115.2,7.5,118.5,111.9,125.0,100.0,95.3,9.1,104.1,97.8,119.0,78.0,False,True,False,True
2021,Wimbledon,R64,Anderson,107.5,113.6,6.2,116.4,109.9,123.0,100.0,95.7,8.6,107.8,97.8,113.0,82.0,False,True,False,True
2021,Wimbledon,R128,Draper,110.9,115.2,6.9,117.6,109.5,125.0,97.0,95.3,7.7,101.0,94.0,108.0,79.0,False,True,False,True
2020,US Open,R16,Carreno,112.6,117.9,4.5,120.9,114.0,123.0,105.0,99.3,11.5,119.0,104.5,119.0,81.0,False,False,True,False
2020,US Open,R32,Struff,112.3,117.5,4.6,120.7,116.4,124.0,106.0,101.6,11.6,109.2,105.0,119.0,86.0,False,False,True,True
2020,US Open,R64,Edmund,110.2,117.3,5.3,120.0,113.9,123.0,91.0,94.8,12.0,97.5,101.8,117.0,75.0,False,False,True,True
2020,US Open,R128,Dzumhur,110.9,118.0,5.2,119.9,115.6,123.0,92.0,99.1,11.9,108.4,102.1,121.0,84.0,False,False,True,True
2019,US Open,R16,Wawrinka,105.9,114.5,6.5,118.7,108.7,122.0,92.0,90.1,11.2,113.5,90.5,114.0,74.0,False,False,True,False
2019,US Open,R32,Kudla,108.4,114.3,7.3,117.9,111.4,123.0,90.0,95.7,11.6,105.5,104.0,113.0,77.0,False,False,True,True
2019,US Open,R64,Londero,103.9,112.7,8.5,117.6,107.1,124.0,87.0,92.2,13.2,106.8,97.0,118.0,73.0,False,False,True,True
2019,US Open,R128,Carballes,107.3,113.9,8.6,118.2,106.9,122.0,81.0,96.2,11.2,100.0,100.6,119.0,80.0,False,False,True,True
2019,Wimbledon,F,Federer,111.1,117.9,3.6,119.7,114.9,124.0,108.0,98.6,8.8,106.7,101.7,113.0,80.0,False,True,False,True
2019,Wimbledon,SF,Bautista,110.7,116.8,4.1,119.0,113.7,124.0,105.0,98.7,10.3,105.8,104.2,115.0,78.0,False,True,False,True
2019,Wimbledon,QF,Goffin,111.1,117.8,4.3,119.0,115.1,123.0,106.0,100.6,8.0,107.3,101.3,113.0,86.0,False,True,False,True
2019,Wimbledon,R16,Humbert,111.2,117.1,4.8,119.3,112.6,123.0,103.0,97.0,4.1,96.7,98.3,106.0,85.0,False,True,False,True
2019,Wimbledon,R32,Hurkacz,112.2,118.0,4.5,120.3,115.3,124.0,106.0,98.4,10.6,105.8,104.5,117.0,79.0,False,True,False,True
2019,Wimbledon,R64,Kudla,114.3,117.9,3.9,120.4,115.9,123.0,104.0,106.0,7.1,111.4,104.3,116.0,91.0,False,True,False,True
2019,Wimbledon,R128,Kohlschreiber,112.3,118.3,3.7,120.0,115.0,125.0,107.0,99.3,11.7,108.9,97.5,117.0,78.0,False,True,False,True
2019,Roland Garros,SF,Thiem,104.8,109.0,11.8,,,122.0,81.0,90.8,7.4,,,108.0,77.0,True,False,False,False
2019,Roland Garros,QF,Zverev,107.9,116.7,5.9,,,124.0,99.0,89.9,7.8,,,105.0,75.0,True,False,False,True
2019,Roland Garros,R16,Struff,109.5,116.5,7.0,,,123.0,85.0,96.2,8.7,,,110.0,80.0,True,False,False,True
2019,Roland Garros,R32,Caruso,109.7,115.6,9.5,,,124.0,77.0,96.3,10.6,,,121.0,81.0,True,False,False,True
2019,Roland Garros,R64,Laaksonen,111.5,116.6,6.7,,,123.0,93.0,99.6,8.8,,,113.0,87.0,True,False,False,True
2019,Roland Garros,R128,Hurkacz,109.9,115.3,6.6,,,122.0,90.0,96.9,9.0,,,111.0,80.0,True,False,False,True
2018,US Open,F,del,103.1,111.7,5.9,115.0,107.5,119.0,92.0,87.9,9.6,95.2,85.5,109.0,74.0,False,False,True,True
2018,US Open,SF,Nishikori,103.4,110.1,7.0,112.9,105.7,117.0,79.0,90.4,8.7,91.3,96.0,104.0,74.0,False,False,True,True
2018,US Open,QF,Millman,103.8,109.9,7.3,113.0,104.0,119.0,84.0,89.7,6.9,93.6,92.5,105.0,77.0,False,False,True,True
2018,US Open,R16,Sousa,104.0,110.4,7.2,113.9,103.1,119.0,85.0,90.6,8.7,98.8,91.2,105.0,74.0,False,False,True,True
2018,US Open,R32,Gasquet,101.3,108.7,8.7,113.0,105.6,119.0,82.0,88.1,7.6,95.2,94.0,103.0,78.0,False,False,True,True
2018,US Open,R64,Sandgren,102.7,108.8,8.7,112.1,105.3,119.0,76.0,86.1,7.2,87.3,84.6,101.0,76.0,False,False,True,True
2018,US Open,R128,Fucsovics,100.4,108.1,9.8,112.9,105.1,120.0,83.0,88.1,8.0,92.6,87.0,101.0,73.0,False,False,True,True
2018,Wimbledon,F,Anderson,111.0,114.8,4.7,116.8,112.2,121.0,97.0,99.4,7.0,107.3,98.6,110.0,84.0,False,True,False,True
2018,Wimbledon,SF,Nadal,108.9,114.0,4.6,115.9,109.9,121.0,100.0,95.4,4.8,96.0,95.2,105.0,83.0,False,True,False,True
2018,Wimbledon,QF,Nishikori,108.5,114.0,4.7,116.1,111.0,122.0,96.0,96.3,7.5,97.5,98.4,110.0,83.0,False,True,False,True
2018,Wimbledon,R16,Khachanov,109.1,113.7,5.0,116.2,108.8,121.0,102.0,97.2,7.4,105.8,99.5,110.0,85.0,False,True,False,True
2018,Wimbledon,R32,Edmund,110.2,114.6,4.4,116.9,111.3,122.0,102.0,96.6,8.7,102.7,99.1,112.0,75.0,False,True,False,True
2018,Wimbledon,R64,Zeballos,109.6,113.9,5.3,117.0,108.8,121.0,102.0,96.3,5.8,98.9,94.0,106.0,85.0,False,True,False,True
2018,Wimbledon,R128,Sandgren,108.3,112.5,6.4,115.0,111.6,118.0,83.0,97.2,7.7,104.3,99.7,106.0,80.0,False,True,False,True
2017,Wimbledon,QF,Berdych,105.0,106.8,5.7,110.3,104.9,114.0,92.0,95.9,8.7,99.0,,105.0,80.0,False,True,False,False
2017,Wimbledon,R16,Mannarino,107.1,110.8,4.5,112.4,108.7,120.0,100.0,95.7,5.3,96.7,98.0,102.0,83.0,False,True,False,True
2017,Wimbledon,R32,Gulbis,110.0,115.0,3.6,116.0,113.3,127.0,106.0,101.4,7.9,109.2,102.7,114.0,82.0,False,True,False,True
2017,Wimbledon,R64,Pavlasek,109.3,114.0,4.2,115.1,111.7,121.0,102.0,98.0,8.1,96.5,107.0,112.0,82.0,False,True,False,True
2017,Wimbledon,R128,Klizan,109.1,112.8,5.3,115.4,110.6,118.0,100.0,97.6,4.5,105.0,100.5,105.0,91.0,False,True,False,True
2017,Roland Garros,QF,Thiem,102.9,109.9,6.8,113.8,109.3,120.0,84.0,88.6,8.1,99.7,91.0,109.0,75.0,True,False,False,False
2017,Roland Garros,R16,Ramos,107.6,115.6,3.8,118.0,111.7,120.0,105.0,92.9,3.7,90.6,94.4,101.0,86.0,True,False,False,True
2017,Roland Garros,R32,Schwartzman,109.7,115.0,7.2,118.5,109.6,122.0,89.0,95.3,9.6,106.0,98.0,114.0,79.0,True,False,False,True
