year,tourney,round,opponent,overall: Unret%,overall: <=3 W%,overall: RiP W%,overall: SvImpact,1st: Unret%,1st: <=3 W%,1st: RiP W%,1st: SvImpact,1st: D Wide%,1st: A Wide%,1st: A BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface_clay,surface_grass,surface_hard,result_W
2023,US Open,R64,Mmoh,48.1,63.0,55.7,55.6,62.2,77.5,64.3,73.1,57.1,40.3,0.0,19.6,34.8,45.9,69,False,False,True,False
2023,US Open,R128,Diaz,44.6,65.1,65.2,56.3,43.4,64.2,63.3,61.7,70.8,51.7,61.53658536585365,46.7,66.7,68.8,-79,False,False,True,True
2023,Houston,R16,Brouwer,50.9,66.7,60.0,58.2,59.4,78.1,69.2,72.5,53.8,52.6,0.0,45.5,59.1,50.0,103,True,False,False,False
2023,Dallas,F,Wu,64.4,71.2,41.5,67.0,71.9,77.5,32.0,75.4,40.0,48.1,50.0,42.9,53.6,56.3,-27,False,False,True,False
2023,Australian Open,R128,Mannarino,43.0,56.3,43.7,49.1,53.3,65.6,45.2,62.1,61.0,61.2,0.0,19.4,36.1,41.4,1,False,False,True,False
2022,Paris,R32,Rublev,37.5,50.0,20.0,42.0,47.7,59.1,21.7,53.4,60.0,42.1,33.3,0.0,16.7,16.7,-118,False,False,True,False
2022,US Open,R128,Delbonis,61.1,72.2,42.9,65.6,72.5,80.4,50.0,78.8,47.4,46.9,61.53658536585365,33.3,52.4,35.7,-79,False,False,True,True
2022,Cincinnati,QF,Tsitsipas,41.8,61.2,50.9,50.9,55.1,73.9,54.8,68.0,50.0,65.7,100.0,11.1,33.3,45.8,-4,False,False,True,False
2022,Cincinnati,R32,Hurkacz,46.3,60.2,50.0,52.7,58.5,72.3,59.3,69.1,55.6,52.6,0.0,30.8,46.2,40.7,62,False,False,True,True
2022,Newport,SF,Cressy,37.2,46.2,47.7,43.5,50.0,60.0,52.0,59.8,32.0,56.0,50.0,17.4,26.1,42.1,39,False,True,False,False
2022,Wimbledon,R64,Murray,46.5,62.0,56.7,54.7,59.6,75.5,60.5,70.7,59.0,52.7,0.0,12.1,27.3,51.7,7,False,True,False,True
2022,Madrid,R64,Krajinovic,55.3,63.2,37.5,57.4,68.6,72.5,31.3,71.8,56.0,57.7,100.0,30.4,47.8,43.8,42,True,False,False,True
2022,Houston,F,Opelka,49.3,55.1,39.4,53.9,52.1,60.4,47.8,58.8,76.9,59.1,66.7,47.4,47.4,20.0,65,True,False,False,False
2022,Indian Wells,R16,Dimitrov,50.9,61.4,46.2,55.4,69.2,79.5,58.3,75.9,43.8,47.8,61.53658536585365,12.5,25.0,35.7,4,False,False,True,False
2022,Indian Wells,R32,Schwartzman,49.1,64.2,69.2,56.8,59.0,76.9,75.0,69.5,66.7,47.6,61.53658536585365,23.1,30.8,60.0,29,False,False,True,True
2022,Indian Wells,R64,Querrey,54.3,64.3,51.6,56.4,64.0,70.0,44.4,67.0,65.0,33.3,61.53658536585365,31.6,52.6,61.5,-3,False,False,True,True
2022,Dallas,SF,Opelka,58.0,73.9,63.9,66.1,62.1,80.3,72.0,73.0,55.0,69.6,61.53658536585365,47.6,57.1,45.5,-10,False,False,True,False
