year,tourney,round,opponent,avg speed,1st: avg,1st: stdev,1st: t avg,1st: wide avg,1st: max,1st: min,2nd: avg,2nd: stdev,2nd: t avg,2nd: wide avg,2nd: max,2nd: min,surface_clay,surface_grass,surface_hard,result_W
2024,US Open,QF,Sinner,105.4,114.5,9.7,119.3,109.8,126.0,92.0,92.2,6.3,91.0,89.2,107.0,79.0,False,False,True,False
2024,US Open,R16,Borges,111.2,118.8,7.5,121.6,113.0,129.0,102.0,95.2,4.9,103.0,95.8,107.0,84.0,False,False,True,True
2024,US Open,R32,Cobolli,107.9,119.1,7.1,122.2,115.3,127.0,96.0,90.7,6.9,103.0,92.8,111.0,80.0,False,False,True,True
2024,US Open,R64,Marozsan,105.9,117.5,6.2,120.5,113.2,126.0,102.0,93.0,5.0,94.3,92.3,103.0,81.0,False,False,True,True
2024,US Open,R128,Lajovic,108.1,117.5,7.1,120.3,112.9,127.0,86.0,93.1,4.1,98.0,91.1,104.0,85.0,False,False,True,True
2024,Wimbledon,SF,Alcaraz,112.8,117.7,4.2,120.0,115.7,124.0,107.0,100.2,11.5,114.1,97.3,124.0,82.0,False,True,False,False
2024,Wimbledon,QF,Sinner,112.8,119.7,5.1,122.5,116.6,128.0,95.0,94.2,10.8,88.0,95.4,123.0,75.0,False,True,False,True
2024,Wimbledon,R16,Dimitrov,107.2,116.0,5.3,117.4,112.8,122.0,103.0,91.9,7.8,108.0,88.0,108.0,84.0,False,True,False,True
2024,Wimbledon,R32,Struff,111.2,115.7,5.8,119.4,110.4,125.0,96.0,97.3,9.1,108.0,99.3,122.0,85.0,False,True,False,True
2024,Wimbledon,R64,Muller,108.8,116.5,7.0,119.9,111.8,127.0,76.0,93.7,6.3,95.8,95.6,105.0,81.0,False,True,False,True
2024,Wimbledon,R128,Kovacevic,110.4,116.5,5.9,118.8,113.8,125.0,105.0,96.9,9.0,101.37719298245614,95.3,123.0,83.0,False,True,False,True
2023,US Open,F,Djokovic,110.4,117.5,5.5,120.6,114.1,125.0,106.0,94.3,5.3,104.0,96.0,108.0,86.0,False,False,True,False
2023,US Open,SF,Alcaraz,112.8,118.8,6.2,122.7,116.0,127.0,106.0,99.4,8.7,114.0,98.2,125.0,87.0,False,False,True,True
2023,US Open,QF,Rublev,111.3,121.0,5.5,124.4,117.6,130.0,109.0,96.4,10.0,108.8,98.6,121.0,67.0,False,False,True,True
2023,US Open,R16,De,113.0,120.0,6.4,122.4,115.2,128.0,97.0,98.0,6.5,103.2,99.0,110.0,83.0,False,False,True,True
2023,US Open,R32,Baez,108.6,117.9,10.0,122.7,112.7,130.0,62.0,91.3,6.0,97.4,93.0,113.0,81.0,False,False,True,True
2023,US Open,R64,Oconnell,109.2,118.1,5.1,120.7,114.8,128.0,106.0,96.2,11.1,104.6,103.3,121.0,65.0,False,False,True,True
2023,US Open,R128,Balazs,109.2,114.7,7.6,119.4,106.7,125.0,98.0,96.3,8.7,102.8,95.7,119.0,86.0,False,False,True,True
2023,Wimbledon,SF,Alcaraz,113.8,120.5,4.9,122.1,118.1,128.0,107.0,103.0,8.3,107.2,104.2,123.0,90.0,False,True,False,False
2023,Wimbledon,QF,Eubanks,115.2,120.4,4.8,122.6,117.9,128.0,108.0,101.5,7.8,107.3,101.8,122.0,88.0,False,True,False,True
2023,Wimbledon,R16,Lehecka,110.8,118.2,5.6,120.9,115.0,125.0,107.0,97.5,6.9,102.8,95.03620689655172,112.0,85.0,False,True,False,True
2023,Wimbledon,R32,Fucsovics,114.1,118.4,6.1,121.3,116.4,127.0,102.0,97.9,7.9,104.3,95.3,121.0,84.0,False,True,False,True
2023,Wimbledon,R64,Mannarino,107.4,113.6,8.1,119.9,109.0,127.0,97.0,94.3,8.4,100.5,99.8,122.0,74.0,False,True,False,True
2023,Wimbledon,R128,Fery,112.3,119.4,6.1,122.4,116.1,128.0,106.0,98.2,10.5,106.2,97.0,124.0,83.0,False,True,False,True
2022,US Open,R16,Kyrgios,108.1,118.2,9.3,119.8,112.4,128.0,71.0,93.4,7.6,99.3,94.0,105.0,79.0,False,False,True,False
2022,US Open,R32,Wu,110.7,120.1,5.3,121.4,118.4,127.0,105.0,92.3,9.6,103.3,90.3,107.0,61.0,False,False,True,True
2022,US Open,R64,Rinderknech,106.6,117.0,7.5,120.2,113.6,129.0,103.0,88.9,6.5,96.0,89.7,100.0,76.0,False,False,True,True
2022,US Open,R128,Kozlov,106.4,117.2,6.9,120.5,113.9,126.0,104.0,93.4,12.1,102.4,93.0,123.0,65.0,False,False,True,True
2021,US Open,F,Djokovic,114.1,122.3,6.0,124.5,117.4,130.0,108.0,98.9,13.3,112.6,99.5,126.0,80.0,False,False,True,True
2021,US Open,SF,Auger,112.0,119.3,9.8,121.3,117.5,128.0,69.0,93.2,10.5,104.0,95.3,116.0,77.0,False,False,True,True
2021,US Open,QF,Van,106.2,115.6,8.3,120.8,111.1,127.0,93.0,87.8,13.1,111.0,95.2,121.0,67.0,False,False,True,True
2021,US Open,R16,Evans,114.3,122.1,5.3,123.9,118.8,131.0,105.0,92.5,12.4,110.7,93.6,126.0,76.0,False,False,True,True
2021,US Open,R32,Andujar,107.6,117.0,7.5,119.7,112.9,128.0,97.0,92.7,9.7,99.8,85.7,112.0,81.0,False,False,True,True
2021,US Open,R64,Koepfer,106.5,112.9,12.0,117.3,108.6,126.0,63.0,90.8,5.5,100.0,86.0,101.0,82.0,False,False,True,True
2021,US Open,R128,Gasquet,109.0,118.8,5.3,120.6,117.4,128.0,102.0,92.3,7.4,98.2,93.3,104.0,82.0,False,False,True,True
2021,Wimbledon,R16,Hurkacz,110.0,120.4,5.9,123.0,117.6,128.0,97.0,93.7,9.3,91.2,92.4,114.0,78.0,False,True,False,False
2021,Wimbledon,R32,Cilic,108.7,120.3,5.8,122.8,117.4,130.0,104.0,90.7,9.7,99.5,92.6,111.0,76.0,False,True,False,True
2021,Wimbledon,R64,Alcaraz,111.0,118.1,5.0,119.7,115.1,125.0,108.0,97.3,9.5,94.0,95.8,118.0,81.0,False,True,False,True
2021,Wimbledon,R128,Struff,110.8,121.1,4.9,122.6,119.1,128.0,107.0,98.2,9.4,97.7,99.6,121.0,83.0,False,True,False,True
2020,US Open,SF,Thiem,110.0,119.9,5.5,122.7,118.2,129.0,106.0,95.2,5.8,93.6,97.1,111.0,85.0,False,False,True,False
2020,US Open,QF,Rublev,113.3,122.4,5.3,125.4,120.0,131.0,109.0,98.9,10.9,99.3,102.6,113.0,82.0,False,False,True,True
2020,US Open,R16,Tiafoe,105.2,114.2,14.6,116.5,115.2,125.0,61.0,95.1,8.4,100.8,101.3,110.0,80.0,False,False,True,True
2020,US Open,R32,Wolf,107.6,119.2,6.0,121.1,116.7,130.0,105.0,94.8,7.7,102.0,100.5,113.0,84.0,False,False,True,True
2020,US Open,R64,Oconnell,107.9,118.2,4.8,119.8,116.2,126.0,106.0,92.3,11.0,94.4,96.4,123.0,76.0,False,False,True,True
2020,US Open,R128,Delbonis,107.5,113.4,8.9,116.8,107.9,126.0,76.0,93.8,5.0,96.5,94.3,103.0,86.0,False,False,True,True
2019,US Open,F,Nadal,109.9,118.1,8.0,123.3,113.4,128.0,97.0,94.0,6.8,102.0,94.2,123.0,81.0,False,False,True,False
2019,US Open,SF,Dimitrov,106.9,121.9,5.0,124.1,118.6,132.0,106.0,91.4,7.1,92.0,91.5,120.0,78.0,False,False,True,True
2019,US Open,QF,Wawrinka,110.3,119.8,6.5,122.8,115.9,130.0,105.0,91.9,6.9,93.5,95.2,104.0,81.0,False,False,True,True
2019,US Open,R16,Koepfer,109.0,117.9,6.7,121.7,113.5,129.0,102.0,95.9,8.8,106.3,87.2,121.0,77.0,False,False,True,True
2019,US Open,R32,Lopez,110.9,119.5,7.5,123.5,114.4,129.0,97.0,93.5,5.7,90.3,92.6,107.0,82.0,False,False,True,True
2019,US Open,R64,Dellien,105.4,116.5,6.5,119.0,113.2,128.0,100.0,91.7,8.2,95.5,92.1,106.0,73.0,False,False,True,True
2019,US Open,R128,Gunneswaran,109.9,117.0,7.2,121.28813559322033,114.70677966101697,129.0,98.0,93.2,7.1,101.37719298245614,95.03620689655172,103.0,71.0,False,False,True,True
2019,Wimbledon,R32,Goffin,114.9,122.7,5.3,124.8,121.0,130.0,105.0,101.5,13.8,118.3,100.8,128.0,82.0,False,True,False,False
2019,Wimbledon,R64,Popyrin,112.9,122.0,5.4,125.6,117.9,130.0,108.0,99.4,10.1,107.6,99.3,115.0,80.0,False,True,False,True
2019,Wimbledon,R128,Lorenzi,112.3,118.5,6.6,123.0,113.9,129.0,96.0,99.2,13.0,118.0,102.2,121.0,78.0,False,True,False,True
