year,tourney,round,opponent,overall: Unret%,overall: <=3 W%,overall: RiP W%,overall: SvImpact,1st: Unret%,1st: <=3 W%,1st: RiP W%,1st: SvImpact,1st: D Wide%,1st: A Wide%,1st: A BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface_clay,surface_grass,surface_hard,result_W
2024,Davis Cup,RR,Van,13.2,34.2,53.1,26.8,15.0,55.0,64.7,41.0,36.4,77.8,60.80416666666667,11.8,11.8,40.0,4,False,False,True,False
2024,Paris Olympics,R32,Djokovic,13.8,22.4,41.7,20.5,16.7,23.8,45.7,26.0,15.8,56.5,62.5,7.1,21.4,30.8,-49,True,False,False,False
2024,Paris Olympics,R64,Fucsovics,15.2,31.5,62.7,26.2,19.1,38.2,61.8,34.0,16.1,62.2,85.7,4.8,14.3,65.0,-72,True,False,False,True
2024,Bastad,F,Borges,12.5,21.4,39.1,17.3,15.8,23.7,43.8,22.9,35.3,57.1,100.0,6.7,20.0,28.6,-57,True,False,False,False
2024,Bastad,QF,Navone,13.2,21.5,48.5,18.0,16.5,26.6,53.0,23.8,24.3,54.8,57.1,7.9,13.2,40.0,-39,True,False,False,True
2024,Bastad,R32,Borg,30.2,45.3,67.6,47.0,35.9,53.8,72.0,58.7,20.0,75.0,60.80416666666667,14.3,21.4,58.3,-79,True,False,False,True
2024,Roland Garros,R128,Zverev,11.7,20.7,50.5,20.0,12.8,25.6,51.5,24.6,15.2,60.0,58.3,10.0,10.0,48.1,-18,True,False,False,False
2024,Rome,R64,Hurkacz,15.1,20.8,45.5,19.2,18.4,23.7,41.9,24.2,26.3,57.9,75.0,7.1,14.3,53.8,-45,True,False,False,False
2024,Madrid,R64,De,8.1,17.7,65.5,13.1,6.7,17.8,69.0,13.6,10.0,40.0,50.0,13.3,20.0,53.8,11,True,False,False,True
2024,Barcelona,R64,Cobolli,18.4,30.6,67.6,22.7,25.0,34.4,70.8,31.6,0.0,73.7,100.0,7.1,28.6,61.5,-53,True,False,False,True
2024,Brisbane,QF,Thompson,21.3,39.8,57.8,30.9,25.3,45.6,64.4,38.5,25.7,40.9,33.3,11.1,25.9,41.7,-4,False,False,True,False
2024,Brisbane,R16,Kubler,28.3,47.8,70.0,35.9,33.3,56.7,70.0,45.0,25.0,72.2,100.0,23.1,38.5,70.0,88,False,False,True,True
2024,Brisbane,R32,Thiem,32.6,52.2,83.3,41.7,38.7,58.1,84.2,52.3,33.3,68.4,60.80416666666667,21.4,42.9,81.8,22,False,False,True,True
2023,Australian Open,R64,Mcdonald,23.5,29.4,44.7,28.3,27.7,35.4,46.8,35.2,25.0,54.1,71.4,17.1,20.0,41.4,3,False,False,True,False
2023,Australian Open,R128,Draper,22.7,34.5,57.3,30.3,29.5,43.6,61.8,41.2,33.3,55.6,85.7,10.5,18.4,50.0,-11,False,False,True,True
2022,Tour Finals,RR,Fritz,37.7,50.7,48.7,45.9,42.9,61.2,57.1,54.5,61.9,50.0,40.0,31.3,31.3,27.3,157,False,False,True,False
2022,Tour Finals,RR,Auger,26.2,37.7,53.7,32.0,30.6,50.0,60.0,40.3,44.4,61.1,100.0,23.8,23.8,43.8,102,False,False,True,False
2022,Tour Finals,RR,Ruud,49.2,63.9,66.7,56.9,63.4,80.5,80.0,74.9,55.0,42.9,50.0,21.1,31.6,53.3,-3,False,False,True,True
2022,Paris,R32,Paul,22.2,34.3,47.3,29.6,26.9,43.3,55.1,37.8,44.4,60.0,100.0,13.8,17.2,32.0,19,False,False,True,False
2022,US Open,R16,Tiafoe,31.6,43.0,53.6,35.7,40.0,51.7,52.8,47.8,32.0,57.1,100.0,26.7,40.0,54.5,126,False,False,True,False
2022,Wimbledon,QF,Fritz,18.3,36.0,56.7,27.2,23.4,43.9,61.0,37.0,34.1,52.4,100.0,10.0,24.0,48.9,-22,False,True,False,True
2022,Wimbledon,R16,Van,38.6,45.5,53.8,44.8,39.3,50.0,55.9,48.9,32.0,48.4,66.7,40.0,40.0,50.0,16,False,True,False,True
2022,Roland Garros,F,Ruud,16.4,26.2,66.7,24.4,23.1,35.9,76.7,35.6,0.0,61.9,60.80416666666667,5.3,10.5,50.0,-68,True,False,False,True
2022,Roland Garros,SF,Zverev,12.6,27.6,48.0,21.1,19.2,38.5,47.6,33.5,47.6,64.5,33.3,2.9,11.8,48.5,-87,True,False,False,True
2022,Roland Garros,QF,Djokovic,18.1,26.1,57.8,24.1,17.3,25.5,58.0,25.7,23.3,40.0,44.4,22.2,30.6,57.1,72,True,False,False,True
2022,Roland Garros,R32,Van,29.7,37.8,64.7,37.8,34.8,47.8,80.0,47.8,28.6,68.0,60.80416666666667,22.2,22.2,42.9,-25,True,False,False,True
2022,Madrid,QF,Alcaraz,23.0,31.1,46.4,28.8,28.8,38.5,40.5,37.1,30.4,48.3,66.7,9.5,14.3,57.9,-18,True,False,False,False
2022,Madrid,R16,Goffin,24.8,32.1,61.5,30.2,31.9,41.7,65.3,40.1,23.5,44.7,25.0,12.1,15.2,55.2,1,True,False,False,True
2022,Indian Wells,F,Fritz,17.9,28.2,47.5,22.7,21.2,30.8,43.9,28.3,25.0,40.6,50.0,13.0,26.1,55.0,9,False,False,True,False
2022,Indian Wells,SF,Alcaraz,19.4,28.7,48.2,24.9,22.2,31.9,51.8,30.4,25.0,70.0,50.0,15.6,25.0,40.7,35,False,False,True,True
2022,Indian Wells,QF,Kyrgios,32.4,44.1,58.1,40.3,41.8,55.2,61.5,53.9,39.3,64.1,100.0,17.9,28.6,52.2,39,False,False,True,True
2022,Indian Wells,R64,Korda,34.7,38.8,39.3,37.6,37.7,41.0,36.8,42.3,28.0,44.4,37.5,37.9,44.8,44.4,209,False,False,True,True
2022,Acapulco,F,Norrie,24.6,33.3,53.5,30.2,28.9,37.8,59.4,36.0,35.0,44.0,100.0,8.3,16.7,36.4,-79,False,False,True,True
2022,Acapulco,SF,Medvedev,22.5,31.3,55.7,30.0,26.3,36.8,52.4,36.8,31.0,46.4,75.0,13.6,18.2,63.2,-13,False,False,True,True
2022,Australian Open,F,Medvedev,15.3,24.3,53.5,22.0,22.2,33.3,57.1,32.9,32.1,42.2,53.8,4.5,10.4,48.4,-72,False,False,True,True
2022,Australian Open,SF,Berrettini,23.5,37.3,61.8,30.8,31.4,45.7,60.4,42.0,37.9,61.0,100.0,6.7,20.0,64.3,-49,False,False,True,True
2022,Australian Open,QF,Shapovalov,38.4,46.6,55.7,44.9,44.0,56.0,62.5,53.6,44.2,50.9,66.7,34.3,34.3,39.1,169,False,False,True,True
2022,Melbourne,F,Cressy,41.5,46.2,62.5,46.0,48.7,51.3,55.0,56.2,29.4,54.5,100.0,40.0,50.0,75.0,173,False,False,True,True
