year,tourney,round,opponent,avg speed,1st: avg,1st: stdev,1st: t avg,1st: wide avg,1st: max,1st: min,2nd: avg,2nd: stdev,2nd: t avg,2nd: wide avg,2nd: max,2nd: min,surface_clay,surface_grass,surface_hard,result_W
2022,US Open,R16,Tiafoe,108.5,113.9,7.7,116.9,112.5,123.0,77.0,101.2,4.1,101.8,100.3,108.0,92.0,False,False,True,False
2022,US Open,R32,Gasquet,107.9,112.5,6.3,117.2,108.0,122.0,103.0,99.3,5.1,99.6,95.14318181818182,109.0,90.0,False,False,True,True
2022,US Open,R64,Fognini,106.5,112.2,7.9,114.0,108.4,122.0,76.0,97.3,4.6,97.6,95.0,103.0,79.0,False,False,True,True
2022,US Open,R128,Hijikata,107.2,113.8,5.8,117.0,107.8,122.0,101.0,98.2,3.6,96.9,95.14318181818182,105.0,93.0,False,False,True,True
2022,Wimbledon,QF,Fritz,103.0,107.0,6.5,109.2,103.6,120.0,95.0,94.7,5.4,94.7,94.0,112.0,83.0,False,True,False,True
2022,Wimbledon,R16,Van,109.9,115.1,4.5,118.5,111.4,123.0,105.0,100.1,4.7,100.1,95.14318181818182,109.0,89.0,False,True,False,True
2022,Wimbledon,R32,Sonego,110.8,115.0,5.1,118.1,112.2,124.0,105.0,100.4,4.6,99.8,98.0,107.0,89.0,False,True,False,True
2022,Wimbledon,R64,Berankis,107.6,111.8,5.7,115.0,107.5,122.0,98.0,98.9,4.2,98.8,99.0,107.0,90.0,False,True,False,True
2022,Wimbledon,R128,Cerundolo,109.7,114.3,5.6,116.7,111.4,124.0,100.0,98.1,4.9,97.7,104.0,110.0,91.0,False,True,False,True
2019,US Open,F,Medvedev,105.9,115.2,6.2,119.0,111.7,125.0,94.0,91.8,4.9,91.3,92.7,102.0,81.0,False,False,True,True
2019,US Open,SF,Berrettini,108.1,116.8,6.9,119.9,111.1,126.0,100.0,96.5,5.2,96.0,95.14318181818182,108.0,88.0,False,False,True,True
2019,US Open,QF,Schwartzman,109.7,118.6,5.8,121.1,112.3,128.0,106.0,94.3,4.7,94.1,88.5,102.0,85.0,False,False,True,True
2019,US Open,R16,Cilic,109.1,115.5,8.1,120.8,112.7,126.0,94.0,99.3,4.2,99.3,98.5,110.0,91.0,False,False,True,True
