year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2021,Wimbledon,QF,L,Hurkacz,22.6,43.0,43.5,52.4,34.1,31.1,52.5,43.5,52.4,48.7,39.3,54.5,37.5,6.9,27.6,29.6,-49,grass
2021,Wimbledon,R16,W,Sonego,37.2,52.6,58.3,61.5,44.0,44.7,59.6,58.3,61.5,56.0,36.4,40.0,100.0,26.7,43.3,54.5,-30,grass
2021,Wimbledon,R32,W,Norrie,38.6,56.1,52.9,56.5,48.8,39.5,60.5,52.9,56.5,54.7,59.5,41.0,0.0,36.8,47.4,45.8,-79,grass
2021,Wimbledon,R64,W,Gasquet,34.7,54.7,61.3,72.2,45.1,42.9,68.3,61.3,72.2,58.4,56.7,48.5,66.7,18.8,28.1,46.2,-79,grass
2021,Wimbledon,R128,W,Mannarino,29.5,41.1,57.9,55.0,36.2,41.2,54.4,57.9,55.0,52.2,37.1,54.5,100.0,12.2,22.0,61.1,7,grass
2021,Roland Garros,R32,W,Koepfer,20.3,35.4,55.6,57.3,28.6,25.0,43.0,55.6,57.3,38.2,53.5,38.6,33.3,12.5,23.2,53.1,-53,clay
2021,Roland Garros,R64,W,Cilic,40.2,54.7,49.3,55.6,47.7,43.8,61.3,49.3,55.6,54.8,43.2,58.1,50.0,33.3,41.7,37.5,-38,clay
2021,Roland Garros,R128,W,Istomin,35.4,58.5,69.0,64.0,47.7,45.7,67.4,69.0,64.0,63.0,52.6,63.0,,10.5,36.8,76.5,-79,clay
2021,Doha,R16,W,Evans,23.8,43.8,61.3,70.0,38.2,29.6,53.5,61.3,70.0,50.8,55.2,50.0,0.0,11.8,23.5,46.7,-79,hard
2020,Australian Open,SF,L,Djokovic,28.8,43.3,42.3,47.7,37.9,35.3,55.9,42.3,47.7,49.1,65.7,48.5,33.3,18.2,21.2,33.3,47,hard
2020,Australian Open,QF,W,Sandgren,30.4,45.0,50.9,54.9,39.7,36.6,55.4,50.9,54.9,50.8,46.9,57.1,37.5,19.6,26.8,44.4,-2,hard
2020,Australian Open,R16,W,Fucsovics,16.5,32.0,60.5,70.0,26.2,20.6,42.9,60.5,70.0,36.5,71.0,56.3,33.3,10.0,15.0,47.2,-79,hard
2020,Australian Open,R32,W,Millman,29.4,48.2,57.0,61.4,38.2,37.5,59.8,57.0,61.4,50.8,41.7,62.5,50.0,15.4,28.8,50.0,34,hard
2020,Australian Open,R128,W,Johnson,42.4,60.6,67.6,64.0,51.4,49.0,63.3,67.6,64.0,61.0,50.0,44.0,,25.0,56.3,75.0,10,hard
2019,Tour Finals,SF,L,Tsitsipas,37.0,40.7,35.3,43.8,40.0,46.7,53.3,35.3,43.8,52.0,50.0,50.0,0.0,25.0,25.0,27.8,-79,hard
2019,Tour Finals,RR,W,Berrettini,41.8,59.7,56.4,56.5,50.3,48.9,68.9,56.4,56.5,61.6,43.5,40.9,0.0,27.3,40.9,56.3,-79,hard
2019,Tour Finals,RR,L,Thiem,34.3,47.8,45.5,55.2,43.9,38.3,55.3,45.5,55.2,51.9,38.1,50.0,0.0,25.0,30.0,26.7,-79,hard
2019,Tour Finals,RR,W,Djokovic,57.1,67.3,52.6,46.2,63.7,63.9,75.0,52.6,46.2,72.8,33.3,28.6,,45.5,54.5,66.7,154,hard
2019,Basel,F,W,De,22.0,46.0,64.1,69.6,35.4,28.1,62.5,64.1,69.6,49.1,73.3,41.2,,11.1,16.7,56.3,-79,hard
2019,Basel,SF,W,Tsitsipas,34.6,48.1,71.9,62.5,42.7,46.7,66.7,71.9,62.5,60.7,45.5,52.6,,20.0,25.0,81.3,59,hard
2019,Shanghai,QF,L,Zverev,32.6,41.3,44.3,38.2,37.1,41.4,53.4,44.3,38.2,48.4,37.5,38.5,0.0,18.2,21.2,51.9,-79,hard
2019,Shanghai,R16,W,Goffin,32.5,43.4,52.7,54.1,40.2,38.3,51.7,52.7,54.1,49.0,64.0,45.7,33.3,18.2,22.7,50.0,-13,hard
2019,Laver Cup,RR,W,Kyrgios,36.0,57.3,63.0,69.0,45.6,42.0,66.0,63.0,69.0,56.4,50.0,56.7,,26.1,43.5,52.9,42,hard
2019,Laver Cup,RR,W,Isner,42.4,57.6,75.8,82.6,52.2,47.7,65.9,75.8,82.6,60.9,52.9,70.4,100.0,28.6,35.7,60.0,22,hard
2019,US Open,QF,L,Dimitrov,34.0,47.2,46.8,52.1,40.6,46.1,61.8,46.8,52.1,56.6,34.8,53.5,25.0,14.8,24.1,41.3,-52,hard
2019,Cincinnati,R16,L,Rublev,32.7,49.0,41.9,40.0,39.0,37.5,53.1,41.9,40.0,47.2,53.3,64.7,,26.7,46.7,45.5,99,hard
2019,Wimbledon,F,L,Djokovic,34.0,48.3,54.7,63.5,43.5,41.7,59.1,54.7,63.5,57.0,66.1,45.6,33.3,22.9,32.9,42.6,40,grass
2019,Wimbledon,SF,W,Nadal,32.8,44.0,55.8,55.3,40.7,40.5,53.2,55.8,55.3,52.2,47.4,39.0,0.0,16.7,25.0,56.7,-38,grass
2019,Wimbledon,QF,W,Nishikori,38.7,57.5,60.7,68.3,49.8,41.4,70.0,60.7,68.3,58.3,56.8,63.6,50.0,37.5,37.5,45.0,89,grass
2019,Wimbledon,R16,W,Berrettini,32.8,52.5,75.0,80.8,45.2,39.5,58.1,75.0,80.8,57.2,36.4,61.9,,17.6,41.2,64.3,5,grass
2019,Wimbledon,R32,W,Pouille,31.4,48.0,55.9,63.0,42.4,32.4,52.9,55.9,63.0,48.8,53.3,47.4,33.3,31.3,40.6,40.9,-79,grass
2019,Wimbledon,R64,W,Clarke,34.2,64.4,77.8,82.6,46.3,48.9,80.0,77.8,82.6,68.4,47.8,54.5,0.0,12.0,44.0,72.7,4,grass
2019,Halle,F,W,Goffin,41.4,58.6,60.6,64.7,48.4,51.4,71.4,60.6,64.7,63.1,57.1,57.1,100.0,27.3,40.9,56.3,-13,grass
2019,Halle,QF,W,Bautista,23.3,43.3,62.3,68.9,38.3,23.7,49.2,62.3,68.9,46.6,50.0,51.6,40.0,22.6,32.3,50.0,-79,grass
2019,Halle,R16,W,Tsonga,37.0,48.0,54.8,52.8,42.4,45.5,54.5,54.8,52.8,53.6,51.9,61.5,66.7,21.2,36.4,57.7,-35,grass
2019,Roland Garros,SF,L,Nadal,16.1,30.1,44.2,50.0,23.7,21.4,35.7,44.2,50.0,33.9,46.2,46.7,55.6,8.3,22.2,36.4,-38,clay
2019,Roland Garros,QF,W,Wawrinka,30.9,45.6,58.4,63.9,39.3,36.5,49.0,58.4,63.9,49.6,41.5,54.5,33.3,21.6,41.2,50.0,-22,clay
2019,Rome,R16,W,Coric,29.4,42.2,46.7,42.5,35.3,35.5,46.8,46.7,42.5,46.0,62.1,54.5,0.0,22.2,37.8,51.4,-15,clay
2019,Madrid,QF,L,Thiem,39.6,53.8,52.5,61.0,46.8,46.1,64.5,52.5,61.0,56.1,43.3,56.5,33.3,25.9,29.6,35.0,72,clay
2019,Madrid,R16,W,Monfils,35.7,48.8,53.8,59.4,46.0,36.0,56.0,53.8,59.4,53.2,39.1,37.0,50.0,37.5,40.6,45.0,10,clay
2019,Miami,F,W,Isner,54.3,62.9,86.7,100.0,58.9,75.0,85.0,86.7,100.0,83.0,70.0,50.0,,28.6,35.7,80.0,22,hard
2019,Miami,SF,W,Shapovalov,28.9,46.7,77.4,85.7,38.7,36.4,54.5,77.4,85.7,56.4,53.8,55.6,,22.7,40.9,70.6,-13,hard
2019,Miami,QF,W,Anderson,42.9,45.2,50.0,54.5,44.3,56.0,56.0,50.0,54.5,58.4,45.5,50.0,,26.7,33.3,45.5,99,hard
2019,Miami,R16,W,Medvedev,33.3,45.8,65.6,73.7,40.0,42.4,54.5,65.6,73.7,52.1,33.3,44.4,0.0,13.3,26.7,53.8,-79,hard
2019,Miami,R64,W,Albot,37.4,51.6,60.0,55.2,42.7,49.1,57.9,60.0,55.2,57.7,56.5,55.9,100.0,18.8,43.8,65.4,10,hard
2019,Indian Wells,F,L,Thiem,22.6,40.5,55.6,60.5,33.9,27.1,49.2,55.6,60.5,43.2,25.8,46.4,100.0,13.0,21.7,45.0,14,hard
2019,Indian Wells,QF,W,Hurkacz,27.1,39.0,67.5,76.2,33.4,34.4,50.0,67.5,76.2,45.9,46.7,41.2,100.0,20.8,29.2,57.9,86,hard
2019,Indian Wells,R16,W,Edmund,32.3,46.2,54.5,66.7,40.5,41.5,58.5,54.5,66.7,54.4,50.0,42.1,33.3,16.7,25.0,40.0,-79,hard
2019,Dubai,F,W,Tsitsipas,32.7,47.3,67.6,74.1,42.4,35.7,52.4,67.6,74.1,48.3,31.6,34.8,50.0,23.1,30.8,50.0,-79,hard
2019,Dubai,SF,W,Coric,40.9,56.8,60.0,64.3,50.5,44.0,68.0,60.0,64.3,60.8,41.7,46.2,,38.9,44.4,54.5,1,hard
