year,tourney,round,result,opponent,Unret%,<=3 W%,RiP W%,RiP W%.1,SvImpact,1st: Unret%,1st: <=3 W%,RiP W%.2,RiP W%.3,SvImpact1st,D Wide%,A Wide%,BP Wide%,2nd: Unret%,2nd: <=3 W%,2nd: RiP W%,2ndAgg,surface
2025,Monte Carlo,R16,L,De,11.5,13.5,30.2,30.4,13.7,20.7,24.1,30.2,30.4,24.5,40.0,21.4,33.3,0.0,0.0,30.0,-118,clay
2025,Miami,R64,L,Munar,18.9,34.0,48.7,50.0,28.1,22.6,38.7,48.7,50.0,38.4,75.0,60.0,100.0,16.7,33.3,46.7,32,hard
2025,Indian Wells,SF,L,Rune,20.0,26.7,50.0,56.5,24.5,23.3,33.3,50.0,56.5,32.3,46.7,20.0,0.0,16.7,20.0,44.0,-79,hard
2025,Indian Wells,QF,W,Fils,27.3,34.1,57.4,45.9,30.1,32.7,41.8,57.4,45.9,37.3,77.3,54.5,33.3,20.0,23.3,75.0,59,hard
2025,Dubai,QF,L,Griekspoor,33.9,42.2,54.4,54.0,39.3,35.9,46.2,54.4,54.0,43.3,65.7,37.2,50.0,33.3,37.0,55.6,116,hard
2025,Dubai,R16,W,Mpetshi,39.6,50.0,75.0,90.9,41.9,54.2,58.3,75.0,90.9,58.8,72.7,69.2,,26.1,43.5,64.7,-16,hard
2025,Doha,R16,W,Bergs,33.3,36.1,72.7,75.0,38.1,40.7,44.4,72.7,75.0,47.0,58.3,53.3,,14.3,14.3,66.7,4,hard
2025,Marseille,R16,W,Herbert,44.9,55.1,70.8,78.6,49.2,51.7,62.1,70.8,78.6,59.0,28.6,46.7,100.0,41.2,52.9,60.0,148,hard
2025,Rotterdam,R16,L,Bellucci,28.0,41.9,59.3,74.2,35.9,40.4,59.6,59.3,74.2,54.6,68.2,40.0,33.3,15.2,24.2,42.9,16,hard
2025,Rotterdam,R32,W,Wawrinka,30.7,36.4,54.5,55.9,36.3,40.4,49.1,54.5,55.9,48.9,56.0,59.4,50.0,16.0,16.0,52.4,24,hard
2025,Australian Open,R64,L,Tien,27.2,35.5,46.5,49.1,31.1,40.0,52.6,46.5,49.1,46.9,59.5,64.2,0.0,12.3,15.4,43.9,1,hard
