year,tourney,round,result,opponent,avg speed,1st avg,1st stdev,1st t avg,1st wide avg,max 1st,min 1st,2nd avg,2nd stdev,2nd t avg,2nd wide avg,max 2nd,min 2nd
2024,US Open,R64,L,Ruud,107.7,115.5,11.2,116.8,110.5,133.0,94.0,97.7,7.1,101.5,101.7,116.0,85.0
2024,US Open,R128,W,Schwartzman,103.9,111.2,11.4,115.4,107.5,128.0,79.0,94.4,7.2,98.6,95.8,107.0,80.0
2024,Wimbledon,R32,L,Dimitrov,110.9,117.1,9.3,120.8,111.5,131.0,98.0,100.2,7.6,108.3,102.0,124.0,88.0
2024,Wimbledon,R64,W,Wawrinka,109.4,114.4,11.2,118.4,105.6,132.0,91.0,100.9,6.8,106.6,91.0,114.0,88.0
2024,Wimbledon,R128,W,Mannarino,107.4,113.5,9.4,117.1,109.9,129.0,93.0,96.2,7.3,93.7,97.0,119.0,82.0
2023,US Open,R64,L,Rublev,105.3,112.9,11.3,117.5,108.3,136.0,85.0,95.9,5.7,100.0,97.4,105.0,83.0
2023,US Open,R128,W,Daniel,108.0,113.3,11.7,119.0,107.2,135.0,94.0,96.6,5.7,97.5,98.3,116.0,88.0
2021,US Open,R32,L,Sinner,108.2,115.3,9.5,117.0,111.6,129.0,94.0,96.6,5.4,101.7,97.7,108.0,84.0
2021,US Open,R64,W,Johnson,106.4,112.6,12.3,111.8,108.7,130.0,65.0,97.1,6.1,98.8,95.3,113.0,83.0
2021,US Open,R128,W,Coria,109.9,117.9,9.9,119.3,112.9,135.0,99.0,96.3,5.5,102.3,91.3,106.0,87.0
2021,Wimbledon,R128,W,Oconnell,110.5,115.8,9.7,118.1,109.4,132.0,91.0,99.1,8.5,109.2,97.5,125.0,81.0
2019,US Open,QF,L,Berrettini,109.7,114.4,7.4,115.8,110.0,134.0,93.0,99.9,6.2,102.1,97.6,112.0,86.0
2019,US Open,R16,W,Andujar,106.7,110.7,8.2,113.5,107.4,127.0,93.0,95.0,6.9,100.3,96.0,106.0,82.0
2019,US Open,R32,W,Shapovalov,107.1,110.5,9.9,112.3,106.6,128.0,92.0,98.1,4.0,98.5,96.5,106.0,90.0
2019,US Open,R64,W,Copil,105.9,109.7,9.2,110.8,108.6,126.0,84.0,97.3,5.2,96.5,96.0,109.0,87.0
2019,US Open,R128,W,Ramos,104.2,112.2,10.1,116.1,108.4,131.0,90.0,94.1,6.8,99.0,88.7,105.0,71.0
2019,Wimbledon,R128,L,Humbert,112.0,117.0,9.9,120.5,110.5,132.0,96.0,100.3,9.1,105.4,99.6,126.0,85.0
2018,US Open,R64,L,Nishikori,108.4,112.5,10.7,117.7,108.6,131.0,84.0,93.7,8.4,92.5,99.3,116.0,83.0
2018,US Open,R128,W,Bagnis,100.2,104.2,9.3,109.2,100.8,127.0,88.0,90.9,6.3,93.0,87.7,107.0,79.0
2018,Wimbledon,R16,L,Anderson,111.1,115.8,6.9,119.0,111.3,131.0,98.0,98.7,5.8,103.0,98.0,110.0,90.0
